Symbol,Sector,Industry,Mkt Cap,Exch,PW?,5658,25,0.44%,,PW Companies - Capital Goods,,,,,,,,No PW Companies
SWJ,Capital Goods,Industrial Machinery/Components,n/a,NYSE,0,,,,,,,,,,,,,
ALOT,Technology,Computer peripheral equipment,100.51,NASDAQ,0,,,,,,,,,,,,,
ASTC,Capital Goods,Military/Government/Technical,27.99,NASDAQ,0,,,,,,,,,,,,,
ASUR,Technology,EDP Services,98.64,NASDAQ,0,,,,,,,,,,,,,
ATAI,Consumer Services,Other Consumer Services,82.08,NASDAQ,0,,,,,,,,,,,,,
ATRA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),548.34,NASDAQ,0,,,,,,,,,,,,,
ATHN,Miscellaneous,Business Services,4.62,NASDAQ,0,,,,,,,,,,,,,
ATHX,Health Care,Major Pharmaceuticals,125.94,NASDAQ,0,,,,,,,,,,,,,
AAPC,Consumer Services,Services-Misc. Amusement & Recreation,36.91,NASDAQ,0,,,,,,,,,,,,,
AAME,Finance,Life Insurance,80.64,NASDAQ,0,,,,,,,,,,,,,
ACBI,Finance,Major Banks,460.46,NASDAQ,0,,,,,,,,,,,,,
ACFC,Finance,Savings Institutions,120.2,NASDAQ,0,,,,,,,,,,,,,
ABY,Public Utilities,Electric Utilities: Central,2.13,NASDAQ,0,,,,,,,,,,,,,
ATLC,Finance,Finance: Consumer Services,39.04,NASDAQ,0,,,,,,,,,,,,,
AAWW,Transportation,Transportation Services,1.36,NASDAQ,0,,,,,,,,,,,,,
AFH,Finance,Property-Casualty Insurers,156.3,NASDAQ,0,,,,,,,,,,,,,
TEAM,Technology,Computer Software: Prepackaged Software,6.46,NASDAQ,0,,,,,,,,,,,,,
ATNI,Public Utilities,Telecommunications Equipment,1.17,NASDAQ,0,,,,,,,,,,,,,
ATOM,Technology,Semiconductors,87.3,NASDAQ,0,,,,,,,,,,,,,
ATOS,Health Care,Medical/Dental Instruments,5.68,NASDAQ,0,,,,,,,,,,,,,
ATRC,Health Care,Medical/Dental Instruments,630.43,NASDAQ,0,,,,,,,,,,,,,
ATRI,Health Care,Medical/Dental Instruments,850.11,NASDAQ,0,,,,,,,,,,,,,
ATTU,Technology,Computer Software: Prepackaged Software,131.38,NASDAQ,0,,,,,,,,,,,,,
LIFE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),84.2,NASDAQ,0,,,,,,,,,,,,,
AUBN,Finance,Major Banks,117.39,NASDAQ,0,,,,,,,,,,,,,
BOLD,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),336.74,NASDAQ,0,,,,,,,,,,,,,
AUDC,Public Utilities,Telecommunications Equipment,226.38,NASDAQ,0,,,,,,,,,,,,,
AUPH,Health Care,Major Pharmaceuticals,410.32,NASDAQ,0,,,,,,,,,,,,,
EARS,Health Care,Major Pharmaceuticals,37.46,NASDAQ,0,,,,,,,,,,,,,
ABTL,Technology,"Computer Software: Programming, Data Processing",146.7,NASDAQ,0,,,,,,,,,,,,,
ADSK,Technology,Computer Software: Prepackaged Software,19.67,NASDAQ,0,,,,,,,,,,,,,
ADP,Technology,EDP Services,46.99,NASDAQ,0,,,,,,,,,,,,,
AVDL,Health Care,Major Pharmaceuticals,418.26,NASDAQ,0,,,,,,,,,,,,,
AVEO,Health Care,Major Pharmaceuticals,65.4,NASDAQ,0,,,,,,,,,,,,,
AVXS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.07,NASDAQ,0,,,,,,,,,,,,,
AVNW,Technology,Radio And Television Broadcasting And Communications Equipment,80.87,NASDAQ,0,,,,,,,,,,,,,
